Item,Link,Qty,Cost,Total,Notes
Nema 17,https://www.aliexpress.us/item/2255801033887365.html,2,27.19,54.38,"Getting 2 3 packs is cheaper than getting 5 single steppers, even though ill have an extra"
Nema 14,https://www.aliexpress.us/item/3256807047423289.html,1,10.31,10.31,
Z Axis Coupler,https://www.aliexpress.us/item/2255800092204522.html,2,2.57,5.14,
Z Axis Leadscrew,https://www.aliexpress.us/item/3256803254215031.html,1,12.2,12.2,Comes in 2 pack
2040 300mm,https://www.aliexpress.us/item/3256802828358146.html,2,10.13,20.26,
2040 250mm,https://www.aliexpress.us/item/3256802828358146.html,1,8.02,8.02,
2020 200mm,https://www.aliexpress.us/item/3256801418379178.html,2,6.92,13.84,
2020 250mm,https://www.aliexpress.us/item/3256801418379178.html,2,8.05,16.1,Cut to 240
4040 350mm,https://www.aliexpress.us/item/3256804493383834.html,1,22.11,22.11,cut to 320
250mm Mgn 12h,https://a.co/d/1QlAVy6,1,32.99,32.99,2 pack
200mm Mgn 12h,https://a.co/d/dWaa3oH,1,17.99,17.99,
Kingroon KP3S Bed,Kingroon KP3S Heatbed,1,35,35,
HGX Gears,https://www.aliexpress.us/item/3256807909010084.html,1,6.79,6.79,for ProtoXtruder
24v 350W PSU,https://a.co/d/evJWi5H,1,28.54,0,I have a spare
SKR Mini e3 v3,https://www.aliexpress.us/item/3256805657763532.html,2,33.97,2,2 Boards because i have 2 y axis motors for more speed
Pi 4,https://a.co/d/91qoMjd,1,40,0,I have one im not using
9mm gt2 Pulley,https://a.co/d/2HSQFio,1,7.99,7.99,"5 pack, need 2, but aliexpress is more expensive"
9mm gt2 idler,https://a.co/d/36btRyH,1,9.99,9.99,"again, for some reason getting 5 on amazon is cheaper"
2m 6mm gt2 belt,https://www.aliexpress.us/item/3256806321466333.html,1,6.78,6.78,
2m 9mm gt2 belt,https://a.co/d/f0Nsc3e,1,9.99,9.99,
6mm gt2 idler,,,,0,i have spares
6mm gt2 pulley,https://www.aliexpress.us/item/3256808691113115.html,1,1.73,1.73,
TZV6,https://a.co/d/8bGoMh0,1,28.99,28.99,
8500RPM 5015 fans,https://a.co/d/hHNAnfj,1,16.99,16.99,2 pack
2510 fan,https://a.co/d/hxyouRe,1,8.5,0,i have A spare
M3x10mm,https://a.co/d/9QVV98e,1,3.99,3.99,100 pack
m3 t nuts,https://a.co/d/3yF1tte,1,6.99,6.99,
M5 T nuts,https://a.co/d/5FGEHX7,1,5.99,5.99,100 pack
Fully custom y carriage,,1,25.27,25.27,from sendcutsend
,,,,381.83,
